사업장명,좌표정보(X),좌표정보(Y)
철이네순대,211374.4443,449952.2445
중화요리 대성원,211434.135,446941.6343
우연,211150.7316,449498.4163
어창수산,211513.7078,448472.6068
향원식당,215030.0331,450706.8238
807,212680.9037,448720.8104
이가양곱창,210893.7187,447320.4315
이화갈비,211736.436,448349.0778
고덕가든,212960.2938,451087.3896
동촌,213680.8536,449491.1294
현대기사식당,211133.7941,447900.2249
뚱보밥상,211593.8825,448531.1997
방이샤브샤브 칼국수,215205.3123,449672.0706
짜장명가,212523.7605,448603.9112
인쌩맥주 (천호점),211157.4815,448515.1544
부자생고기,212311.6124,448157.866
쪼끼쪼끼(둔촌1호점),211820.7508,447072.3014
너와집,211191.4305,447923.708
땅코참숯구이(명일점),212609.9155,449940.7456
몽땅,210990.9915,448666.1554
전주종가 콩나물국밥콩심 암사역점,211153.4736,449698.3362
사랑채,212857.7757,448256.6778
치킨플러스 천호2호점,211985.9617,449247.1691
둔촌마당,212369.7835,447745.5546
화통 소금구이,215100.7509,449631.6415
영광회수산,212593.3433,449899.9519
풀코스꼬치구이,210835.1286,447796.6966
대관령,212684.8438,449490.354
빛나는바다,211238.8067,449999.2377
홍보석,212284.6444,448145.9922
사우스,211947.0985,450243.3996
먹골식당,210649.7896,447653.8912
독쭈-독도쭈꾸미 배달본점,211827.0354,447008.5243
주당클럽,211932.3409,447896.2903
대박꼼장어,211419.4344,448751.5129
돈엔드까,211815.1839,449456.042
풍천식당,211321.1466,450029.7614
스마일피쉬,211313.9326,449686.7212
옛날불고기,211260.9604,449697.4075
소담반상,212580.2757,449073.5901
만리향,210698.1876,447325.3328
8번지,211218.9573,448493.1453
등촌칼국수,212400.9407,449867.5163
브릭스파크,211052.2914,448328.9101
황금벼슬,211081.1698,449522.383
동호스넥,212589.2718,448309.8599
피자케리어,212197.0784,447596.7771
다래성,212719.8426,449147.6258
뜸들이다,212569.292,449944.0177
본앤본(강동구청점),210721.2627,447541.7494
우리집식당,211265.3319,448886.3169
(유)아웃백스테이크하우스코리아 천호점,210935.0386,448663.4805
군산수산,214985.5802,450968.2065
폼생폼사,212641.8884,449169.2977
서울수제비,210943.2489,447388.3616
대풍생고기전문점,211722.7375,446950.1878
한국통닭,211093.5817,448340.5023
무진장왕뽈때기,211421.8153,450237.5583
제니스키친,211121.7604,448532.8803
전주감자탕,212639.9962,449382.1684
민물숯불장어,211566.4589,449025.7546
토마루,211901.3034,447344.5455
김박사칼국수,210688.3365,447402.8747
마포껍데기,212068.3136,449731.8881
굿모닝김밥,210664.8824,447547.0149
족발야시장 암사점,211238.8067,449999.2377
홍천목장참숯불 생고기,211484.1569,446887.3827
오랜만이야,211120.9699,448524.0546
노랑통닭 천호점,211120.9699,448524.0546
아랑졸디두가시족발,212467.8917,449347.7406
오로라,212874.348,448744.8795
명일동초밥,212898.8096,449740.6149
모여라,211345.6723,449717.2532
옛날농장,211313.0776,448686.8751
비전호프,212579.3999,447917.4064
한솔,211830.0708,449703.7121
고향풍천장어,210731.5294,447869.1156
월가,211315.0206,448653.9033
바른 푸드,211048.2555,447235.0778
미소야(둔촌점),211815.378,447052.6138
가마골,212540.9884,449945.9124
군산식당,211473.2092,448504.9024
만나식당,213069.5691,449660.1935
OK목장,211596.7725,447255.8412
