name,lat,lon
가마로강정 길동역점,37.5387155,127.141006
장인닭갈비 천호점,37.5382999,127.125946
스카이라운지,37.5351291,127.133612
천호곱창,37.5395484,127.129557
명동식당,37.5508477,127.128785
매우당 (천호점),37.5364790,127.126769
명동찌개마을,37.5252260,127.134567
치킨뱅이,37.5391550,127.126728
열혈푸드,37.5392937,127.131786
큰맘할매순대국,37.5293062,127.135785
쉼 힐링카페,37.5385230,127.127960
길동한우곱창,37.5376927,127.137316
암사민물장어,37.5549470,127.128961
구일식당,37.5554176,127.135221
오륜정,37.5286001,127.122117
올리다,37.5290601,127.121722
산지직송포장마차,37.5397126,127.143498
압구정 봉구비어,37.5357308,127.127141
배나무집,37.5268777,127.147455
황금오리,37.5514442,127.142988
할매보쌈양평해장국,37.5477689,127.126369
한영생고기장터,37.5477891,127.155010
의정부 부대찌개,37.5441386,127.141752
비비큐,37.5497486,127.171581
백제추어탕,37.5314569,127.138063
윤가네오리구이,37.5296636,127.138354
이레,37.5545870,127.128610
데니쉬숯불바베큐,37.5493775,127.172791
고향역,37.5537834,127.130170
차돌엔낙지,37.5462746,127.133428
엄마밥상,37.5286797,127.123645
춘향골남원추어탕,37.5372946,127.138718
영양왕족발순대국,37.5280004,127.135239
윤희네,37.5382754,127.131977
아키노유키,37.5388940,127.126467
하늘빛우렁쌈밥,37.5282841,127.122829
냄비와 물통,37.5295313,127.135876
무등골,37.5388083,127.130778
동태마을,37.5537834,127.130170
갯마을칼국수,37.5522625,127.128583
강천민물장어,37.5545760,127.130432
다인카페,37.5231467,127.132799
풀코스고덕본점,37.5598546,127.154141
소문난칼국수,37.5351530,127.136316
쪼끼쪼끼,37.5282841,127.122829
105,37.5332255,127.135769
통가마막창구이,37.5502913,127.126713
터,37.5293062,127.135785
군자대한곱창 천호점,37.5388584,127.126003
풍납닭 내장탕,37.5312698,127.128118
해녀집,37.5367284,127.137518
고여사,37.5516420,127.143317
이차전,37.5391718,127.127905
블레드&푸드 천호점,37.5462746,127.133428
부흥반점,37.5432898,127.127403
닭나라.정,37.5455004,127.124430
이구동성,37.5273341,127.134842
찬호네 맛집,37.5273341,127.134842
하남촌,37.5464890,127.170171
나이스한식,37.5367284,127.137518
알랑가치킨,37.5425003,127.124233
삼비식당,37.5402051,127.121966
LA돈까스,37.5370569,127.141705
마산 아구찜,37.5343013,127.140455
아빠가만든스파게티,37.5231544,127.133952
공원호프,37.5433815,127.125932
철이네순대,37.5517569,127.129488
중화요리 대성원,37.5246273,127.130120
우연,37.5476692,127.126946
어창수산,37.5384747,127.130913
향원식당,37.5584982,127.170877
토리아,37.5406397,127.144337
이가양곱창,37.5280486,127.124006
이화갈비,37.5373095,127.133559
고덕가든,37.5619623,127.147456
동촌,37.5475722,127.155575
현대기사식당,37.5332715,127.126729
뚱보밥상,37.5389511,127.131944
방이샤브샤브 칼국수,37.5491792,127.172836
짜장명가,37.5395877,127.142468
인쌩맥주 (천호점),37.5388123,127.127010
부자생고기,37.5355722,127.140062
쪼끼쪼끼(둔촌1호점),37.5258028,127.134489
너와집,37.5334780,127.127386
땅코참숯구이(명일점),37.5516328,127.143464
몽땅,37.5401748,127.125134
전주종가 콩나물국밥콩심 암사역점,37.5494892,127.126904
사랑채,37.5364567,127.146241
치킨플러스 천호2호점,37.5452981,127.136391
둔촌마당,37.5318593,127.140711
화통 소금구이,37.5488115,127.171647
영광회수산,37.5512636,127.143282
풀코스꼬치구이,37.5323380,127.123356
대관령,37.5475682,127.144406
빛나는바다,37.5521821,127.127949
사우스,37.5543716,127.135977
곱창애닭 강동,37.5310517,127.121250
독쭈-독도쭈꾸미 배달본점,37.5252260,127.134567
주당클럽,37.5332255,127.135769
대박꼼장어,37.5409355,127.129978
돈엔드까,37.5472735,127.134470
풍천식당,37.5524513,127.128889
옛날불고기,37.5494337,127.128296
소담반상,37.5438216,127.143121
만리향,37.5280959,127.121800
8번지,37.5386134,127.127655
등촌칼국수,37.5509779,127.141097
황금벼슬,37.5478862,127.126166
동호스넥,37.5369379,127.143209
피자케리어,37.5305191,127.138762
다래성,37.5444865,127.144695
뜸들이다,37.5516604,127.143011
본앤본(강동구청점),37.5300418,127.122063
(유)아웃백스테이크하우스코리아 천호점,37.5401484,127.124501
군산수산,37.5608596,127.170373
폼생폼사,37.5446858,127.143813
서울수제비,37.5286607,127.124572
대풍생고기전문점,37.5247048,127.133378
제니스키친,37.5389659,127.126603
전주감자탕,37.5466049,127.143805
민물숯불장어,37.5434024,127.131646
토마루,37.5282524,127.135410
김박사칼국수,37.5287898,127.121688
마포껍데기,37.5497570,127.137338
굿모닝김밥,37.5300875,127.121418
족발야시장 암사점,37.5521821,127.127949
오랜만이야,37.5388848,127.126603
노랑통닭 천호점,37.5388848,127.126603
아랑졸디두가시족발,37.5462919,127.141847
오로라,37.5408533,127.146442
명일동초밥,37.5498269,127.146731
모여라,37.5496400,127.129156
비전호프,37.5334062,127.143090
한솔,37.5495078,127.134644
고향풍천장어,37.5329969,127.122181
월가,37.5400807,127.128879
바른 푸드,37.5272719,127.125758
미소야(둔촌점),37.5256226,127.134432
가마골,37.5516788,127.142694
군산식당,37.5387365,127.130439
만나식당,37.5491037,127.148664
OK목장,37.5274544,127.131958
꾸러기분식,37.5509047,127.142025
의정부부대찌개,37.5521821,127.127949
전주맛집,37.5274599,127.135125
신안숯불바베큐,37.5316956,127.142012
천지왕만두.찐빵,37.5287564,127.135897
이차전,37.5391718,127.127905
뻘숯불갈비,37.5525977,127.142775
신화푸드,37.5376927,127.137316
산꼼장어,37.5358735,127.136600
피자스쿨암사롯데캐슬점,37.5550100,127.137155
학생회관,37.5497232,127.143041
키움참치,37.5260010,127.134501
시골집,37.5532818,127.135590
현우네 양꼬치 본점,37.5488827,127.172258
열불날개,37.5372364,127.126284
제트(Z),37.5385230,127.127960
국민떡볶이,37.5234882,127.133602
소양골닭갈비,37.5538798,127.155045
천호 산아나고구이,37.5423475,127.123938
한솥도시락(강동구청점),37.5285182,127.122954
꼴끼닭,37.5446313,127.144107
바오공 베트남 쌀국수,37.5490080,127.130366
대박집,37.5453829,127.133098
킹콩 부대찌개 암사역점,37.5494525,127.127503
투다리(길동점),37.5374383,127.146616
삼팔광어땡,37.5516631,127.132883
최장원닭한마리,37.5478671,127.135433
777포차,37.5248213,127.133967
빨간여우떡볶이,37.5425286,127.131486
제주오두껍,37.5370563,127.126159
시골집막걸리,37.5477705,127.141012
중화반점,37.5308674,127.141422
투다리,37.5488649,127.172122
본점안동찜닭&본점마산아구찜,37.5456859,127.136074
빛고을,37.5582654,127.169926
억수로,37.5261540,127.134637
램니쿠야(둔촌점),37.5255694,127.133719
금강산감자탕,37.5526948,127.128731
참치의味,37.5288801,127.121495
이차돌 길동점,37.5372242,127.137304
들꽃,37.5248044,127.132960
