주소,위도,경도
서울특별시 강동구 동남로67길 43,37.5487787,127.1540974
서울특별시 강동구 암사길 110,37.552223,127.1375409
서울특별시 강동구 동남로67길 41,37.5487787,127.1540974
서울특별시 강동구 고덕로 140,37.5543004,127.1430187
서울특별시 강동구 동남로67길 49,37.5487787,127.1540974
서울특별시 강동구 올림픽로104길 29,37.5555704,127.1310095
서울특별시 강동구 동남로75길 13-25,37.553735,127.1557531
서울특별시 강동구 고덕로 162,37.5543004,127.1430187
서울특별시 강동구 풍성로 113-1,37.53199,127.12516
서울특별시 강동구 고덕로 140,37.5543004,127.1430187
서울특별시 강동구 동남로79길 26,37.5575905,127.1542149
서울특별시 강동구 성안로 71,37.53206,127.13276
서울특별시 강동구 풍성로61길 40,37.5300177,127.1387754
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 양재대로 1604,37.5312359,127.138644
서울특별시 강동구 상암로3길 8,37.552662,127.1273471
서울특별시 강동구 동남로71길 32,37.55232055,127.1541935
서울특별시 강동구 양재대로89가길 58,37.5244081,127.1341549
서울특별시 강동구 양재대로 1377,37.5312359,127.138644
서울특별시 강동구 아리수로93길 40,37.5678404,127.1737057
서울특별시 강동구 상암로3길 84,37.552662,127.1273471
서울특별시 강동구 성안로 22,37.53206,127.13276
서울특별시 강동구 양재대로91길 71,37.5283791,127.1335173
서울특별시 강동구 동남로67길 26,37.5487787,127.1540974
서울특별시 강동구 고덕로62길 27,37.5529581,127.1528256
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 상암로61길 46,37.54777,127.15257
서울특별시 강동구 상암로61길 36,37.54777,127.15257
서울특별시 강동구 동남로75길 13-15,37.553735,127.1557531
서울특별시 강동구 양재대로 1665,37.5312359,127.138644
서울특별시 강동구 명일로 276,37.55213,127.14981
서울특별시 강동구 양재대로128길 60,37.5444639,127.145278
서울특별시 강동구 고덕로62길 27,37.5529581,127.1528256
서울특별시 강동구 고덕로 353,37.5543004,127.1430187
서울특별시 강동구 상암로39길 24,37.5485624,127.1403289
서울특별시 강동구 동남로82길 121,37.5609074,127.1577464
서울특별시 강동구 천중로15가길 7,37.5465908,127.1290027
서울특별시 강동구 양재대로 1607,37.5312359,127.138644
서울특별시 강동구 양재대로 1645,37.5312359,127.138644
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 고덕로 158,37.5543004,127.1430187
서울특별시 강동구 고덕로 353,37.5543004,127.1430187
서울특별시 강동구 성안로 170,37.53206,127.13276
서울특별시 강동구 성안로7길 35,37.5283133,127.1286587
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 아리수로50길 50,37.5588261,127.1488077
서울특별시 강동구 성내로14길 37,37.5260842,127.1261315
서울특별시 강동구 고덕로 256,37.5543004,127.1430187
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 고덕로80길 123,37.5518119,127.1652728
서울특별시 강동구 상암로 11,37.54750065,127.1586603
서울특별시 강동구 상일로12길 95,37.5537796,127.1725251
서울특별시 강동구 양재대로 1706,37.5312359,127.138644
서울특별시 강동구 풍성로 106,37.5318631,127.1274564
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 양재대로138길 32,37.5495645,127.1458456
서울특별시 강동구 양재대로138길 32,37.5495645,127.1458456
서울특별시 강동구 고덕로27길 28,37.5558389,127.1380381
서울특별시 강동구 고덕로79길 29,37.5613851,127.1657988
서울특별시 강동구 고덕로83길 28,37.5614902,127.168897
서울특별시 강동구 고덕로 110,37.5543004,127.1430187
서울특별시 강동구 명일로 248,37.55213,127.14981
서울특별시 강동구 고덕로79길 29,37.5613851,127.1657988
서울특별시 강동구 아리수로97길 68,37.5680651,127.1770297
서울특별시 강동구 아리수로50길 50,37.5588261,127.1488077
서울특별시 강동구 고덕로80길 123,37.5518119,127.1652728
서울특별시 강동구 아리수로50길 50,37.5588261,127.1488077
서울특별시 강동구 아리수로97길 68,37.5680651,127.1770297
서울특별시 강동구 동남로73길 13,37.5528802,127.1552384
서울특별시 강동구 양재대로134길 43,37.5477244,127.1461604
서울특별시 강동구 동남로67길 16,37.5487787,127.1540974
서울특별시 강동구 천중로39길 13,37.5422462,127.1384492
서울특별시 강동구 천호대로162길 68-3,37.5342573,127.1278158
서울특별시 강동구 고덕로20라길 19,37.5525308,127.1346159
